,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
1088,True,1,0,0,0,32,197,-0.39999999999999947,-13,2,-1154,1,2,-1,1,0,0,0,0,0,-1,0,1
1089,True,1,0,0,0,30,1701,0.20000000000000018,-1,3,218,4,10,-5,4,0,0,0,0,0,0,0,1
1090,False,0,0,0,0,26,-4269,-0.40000000000000036,-64,8,-6396,-4,-10,1,-4,0,0,0,0,0,-1,-1,0
1091,False,1,0,0,0,24,-1829,0.0,26,-20,-2897,-4,-6,-36,-1,0,0,0,0,0,-1,0,0
1092,True,1,0,0,0,18,2164,0.40000000000000036,3,5,5548,3,2,1,2,0,0,0,0,0,0,0,1
1093,False,1,0,0,0,29,430,-0.1999999999999993,28,-12,-1190,1,2,-6,3,0,0,0,0,0,0,0,1
1094,False,0,0,0,1,34,-2335,-0.20000000000000018,-29,4,-1179,-4,-4,0,0,0,0,0,0,0,1,-1,0
1095,True,0,0,0,0,31,1728,0.0,7,11,3264,2,4,-6,-1,0,0,0,0,0,0,0,1
1096,True,1,0,0,0,30,968,-0.20000000000000018,-14,4,-594,2,4,2,-2,0,0,0,0,0,-1,1,1
1097,False,0,0,0,0,23,-2835,-0.39999999999999947,-12,3,-1008,-5,-8,-4,-4,0,0,0,0,0,-1,1,0
1098,False,1,0,0,0,24,-1751,-0.40000000000000036,-11,-4,1512,-3,-1,-2,-3,0,0,0,0,0,-1,1,0
1099,True,0,0,0,0,18,2266,1.0,55,15,468,3,-3,-18,0,0,0,0,0,0,0,1,1
1100,False,1,0,0,1,30,2765,0.20000000000000018,-9,8,1267,7,10,2,1,0,0,0,0,0,1,0,1
